x,y,z
16.068308,12.191187,13.235853
16.210707,12.135449,12.633246
15.992051,11.884552,12.660701
16.118813,12.256866,12.460311
15.7008505,11.006876,11.420812
15.830606,10.995475,11.689347
15.669472,11.290199,11.417262
15.597076,10.972066,11.254893
15.346697,11.421234,11.304007
15.645605,11.359883,11.354154
15.726965,10.619838,11.7719965
15.681378,11.484587,11.861846
15.653232,11.196671,11.474461
15.844424,11.04578,11.448205
15.699287,11.170428,11.540502
15.910325,11.104929,11.476608
15.559101,11.253897,11.634961
15.600947,11.334764,11.402415
15.536189,11.038644,11.646401
15.725736,11.121964,11.801591
15.49853,11.0684805,11.645874
15.766103,11.007738,11.639959
15.969471,11.278039,11.248566
15.357841,11.134573,11.355704
15.843497,10.9282875,11.511414
15.621448,10.862188,11.4076
15.6314335,10.977452,11.257798
15.962406,11.376641,11.735052
16.009815,10.992897,11.2518015
15.758519,11.433984,11.451348
15.854006,11.188329,11.575499
15.775956,10.679872,11.512733
15.76457,11.2569895,11.748355
15.757049,11.2047205,11.310455
15.969508,11.4586,11.804489
15.55006,11.100524,11.768508
15.991043,10.838595,11.204807
15.673242,11.282832,11.24878
15.464373,11.14549,11.470643
15.339705,11.165978,11.173638
15.850988,11.014179,11.351693
15.839554,11.160159,11.151842
15.871878,10.974587,11.57908
16.003334,11.554429,11.667437
15.7903,11.386708,11.658672
15.797268,11.285756,11.668297
15.594324,10.964345,11.12223
15.658642,11.073164,11.463506
15.780225,11.246186,11.372048
15.586593,11.272124,11.236231
15.536835,11.073656,10.944998
15.695729,10.962664,11.25407
15.888428,11.117748,11.47837
15.710567,11.307831,11.778203
15.748956,10.95236,11.528188
15.575172,11.234763,11.3943405
15.18072,10.996015,11.216827
15.757186,10.982514,11.199689
15.579009,10.9332,11.121637
15.772664,11.2186775,11.398457
15.732941,11.086298,11.384583
15.700929,11.1491785,11.396968
15.89428,10.965749,11.465115
15.900081,11.066915,11.607537
15.700167,11.110357,11.326316
15.74225,11.093341,11.237409
15.908237,11.195028,11.535695
15.550625,11.170712,11.587637
15.486941,10.867262,11.390378
15.902088,11.410442,11.222267
15.898923,10.95299,11.477927
15.637197,11.246169,11.260781
15.569548,11.242174,11.375774
15.64707,10.994186,11.2659855
15.92114,11.122538,11.433582
15.820042,11.033152,11.522418
15.59756,10.987905,11.537512
15.915288,10.88645,11.210072
15.779244,11.331881,11.579411
15.85148,11.171034,11.383531
15.544805,11.132558,11.485193
15.634517,11.224919,11.448399
15.560208,10.989094,11.370867
15.747281,11.219862,11.296414
15.385834,11.272883,11.625601
15.8612795,10.989359,11.418556
15.911185,10.538707,11.456547
15.83653,11.022127,11.604191
15.214423,11.059459,11.513071
15.927059,10.990202,11.729059
15.732719,11.268651,11.696112
15.629394,10.93967,11.180859
15.820564,11.155494,11.620506
15.897322,11.223218,11.376814
15.576471,11.17339,11.558411
15.636344,11.103208,11.6588
15.779522,10.923257,11.867971
15.885654,10.976094,11.191305
15.5190935,12.005275,12.661535
15.614039,12.10694,13.467954
15.073159,12.451158,12.767956
14.658301,11.030233,13.28494
14.556239,11.207828,13.122365
14.2572365,11.136254,12.739617
14.172371,11.346524,12.598359
14.55835,11.14943,13.029014
14.429962,11.057934,12.873879
14.34861,10.974243,12.444494
14.714545,11.039708,13.078042
14.35918,11.377901,12.81537
14.179706,11.100869,12.806372
14.410958,11.354929,13.02261
14.430751,11.175981,12.782206
14.499503,11.102865,13.303427
14.42999,10.861005,12.805803
14.386821,11.2726965,13.08958
14.615796,11.370399,13.078584
14.524964,11.277739,13.136831
14.271584,10.908546,12.659533
14.415915,10.864639,13.102767
13.979827,11.345264,12.859754
14.397805,11.04544,12.713768
15.592702,11.096195,14.133278
15.542906,11.224618,14.224761
16.000883,11.363738,14.348152
15.715911,11.185951,14.359478
15.658304,11.196478,14.511958
15.439711,11.074561,14.281383
15.651547,11.088034,14.251117
15.525364,11.036948,14.08795
15.768283,10.842905,14.697572
15.66344,11.150778,14.275043
15.844266,10.837195,14.20041
15.663918,12.136714,12.590399
15.386003,12.083994,13.025839
15.572356,11.784059,13.263364
15.696734,11.62554,13.486511
15.553468,11.026577,11.271836
15.741461,11.212204,11.58632
16.034254,11.250328,11.182283
15.893891,11.4337015,11.46243
15.497334,11.451346,11.258949
15.554699,11.279731,11.373296
15.689489,11.121535,11.473096
15.75974,10.733077,11.39872
15.700523,11.155107,11.33195
15.597457,11.141917,11.183953
15.970242,11.041387,11.6214485
15.800218,11.2706175,11.847878
15.833428,11.239216,11.346042
15.705896,11.107507,11.615371
15.804128,11.217395,11.641137
15.716956,11.165721,11.531831
15.515753,11.073852,11.682746
15.847402,11.313492,11.52461
15.434515,11.04996,11.38459
15.536101,10.743993,11.653409
15.414467,11.251751,11.271328
16.063158,11.092468,11.586991
15.765049,10.918594,11.505289
15.716621,11.217646,11.481223
15.635691,11.061826,11.412067
15.743855,11.231918,11.451575
15.61547,11.187543,11.576307
15.891957,11.357167,11.397455
15.744979,11.009933,11.200719
15.798354,11.108639,11.29895
15.579274,11.215713,11.777016
15.800744,11.393078,11.544127
15.676658,11.136813,11.265145
15.332396,10.97121,11.379169
15.615292,11.234331,11.671082
15.841164,11.246554,12.026718
16.150354,11.409516,11.506493
15.508406,11.180209,11.499818
15.612701,11.242461,11.451444
15.815585,11.097591,11.616569
15.819536,11.452808,11.316042
15.79945,11.360032,11.527323
15.393193,11.140624,11.394072
15.421292,11.085266,11.204238
14.462466,12.948452,12.944418
15.765416,13.210673,14.102091
15.194418,12.905397,14.376658
15.7339945,13.163906,14.288416
15.400268,12.768727,14.160257
15.584675,12.96873,13.967082
15.863183,13.355044,14.552341
15.923258,13.211582,14.2214575
15.715479,13.313588,14.282616
15.616637,12.969187,14.04
15.810378,13.021199,14.459829
15.622358,13.305919,14.362681
16.04053,12.926908,14.405649
15.77517,13.260262,14.323524
15.745972,13.239097,14.433621
15.839038,12.965786,14.332083
15.716766,13.080334,14.365663
15.741035,13.086644,14.099618
15.443447,13.037685,14.17176
15.749722,13.015154,14.438242
15.630307,13.337746,14.39614
15.372528,12.81815,14.082661
15.79745,13.527296,14.395005
15.689006,13.063031,14.219345
15.501953,13.266625,14.6915865
15.749722,13.095813,14.339328
15.454737,13.225756,13.955917
15.807575,13.08145,14.196399
15.802262,13.350652,14.576987
15.685194,13.259184,14.105463
15.835783,13.203071,14.379356
15.6091175,13.063123,14.605664
15.608202,13.277612,14.321195
15.762396,13.3471575,14.16883
15.6542425,13.155814,14.341407
15.814327,13.027547,14.118003
15.876134,13.284397,14.070843
15.451613,13.266733,14.263526
15.469397,12.841564,13.913265
15.7078,13.583649,14.425979
15.48033,13.029367,13.928932
15.788674,13.017256,14.228848
15.945489,12.875354,14.290845
16.077238,13.107606,14.225832
15.872405,13.277367,14.305627
15.6329365,13.229428,14.522168
15.861594,13.114657,14.280963
15.712017,13.076104,14.495054
15.88627,13.020727,14.183566
15.501376,13.026199,14.390573
15.778589,12.638364,14.193788
15.423793,13.324675,14.168497
15.951531,13.084449,14.135502
15.427499,13.214637,14.276737
15.603239,13.277694,14.198884
15.81842,13.070403,13.960065
15.759833,12.684822,13.868343
15.684424,13.132153,14.117729
15.730575,13.063707,14.216844
15.830296,13.1389675,14.3086405
15.525715,13.135671,14.38421
15.7394,12.870065,14.277955
15.686484,12.971469,14.110173
15.644179,13.118695,14.293548
15.901648,13.138007,14.555334
15.558937,13.364384,14.323854
15.682549,13.095816,14.345047
15.368621,13.047173,13.972314
15.670704,13.183476,14.382147
15.877168,13.299572,14.432271
15.727614,13.332853,14.29967
15.724921,13.228581,13.971882
15.880681,13.373709,14.264683
15.843741,13.453393,14.340706
15.8502445,13.231665,14.44287
15.672165,13.1695595,14.231827
15.884838,13.230419,14.22075
15.488426,12.97356,14.057736
15.895997,13.020036,14.264698
15.973243,13.271739,14.369836
16.088919,13.252601,14.34378
15.65485,13.235845,14.177611
15.550283,13.138898,14.1556425
15.550804,13.275186,14.265878
15.719482,13.167968,14.250303
15.947058,13.038263,14.29365
15.585574,12.913514,14.176121
15.851527,13.058674,14.215931
15.626375,13.215389,14.3129015
