x,y,z
14.054777,10.810882,11.485294
14.078122,10.834517,11.492534
14.055217,10.864766,11.498941
14.168524,10.641758,11.362396
14.082053,10.026486,12.74337
14.153857,10.061186,12.964487
14.018112,9.9395685,12.64387
13.839849,9.838084,12.795162
14.273157,9.924296,12.631116
14.031117,9.797802,12.647978
14.071004,9.894327,12.670311
12.66167,9.704829,11.397584
12.539106,9.808765,11.283971
12.785215,9.940909,11.366106
12.7945795,9.714114,11.383546
12.80415,9.793043,11.513176
12.632766,9.819519,11.480354
12.565637,9.811354,11.489328
12.47317,9.766396,11.281953
12.713807,9.986364,11.546918
12.617643,9.819564,11.443926
12.704428,9.805237,11.472579
12.831976,9.752664,11.236093
12.45294,9.866424,11.430862
12.780593,9.958984,11.410421
12.648593,9.810873,11.581258
12.524878,10.081516,11.470905
12.502595,9.715084,11.455889
12.685528,9.948941,11.325709
12.639724,9.793021,11.506761
12.382885,9.839313,11.74156
12.758381,9.89168,11.689079
12.808187,9.626986,11.601484
12.64917,9.964132,11.323339
12.571936,9.846222,11.473649
12.779744,9.941315,11.338087
12.691661,9.910662,11.394748
12.6598,10.08336,11.698178
12.525054,9.927433,11.6749735
12.371978,9.995913,11.472814
12.731245,9.851076,11.564885
12.497298,9.948809,11.348699
12.771121,9.95313,11.476471
12.5105715,10.016721,11.517194
12.717379,9.722436,11.3402195
12.445984,10.107154,11.243209
12.962096,9.8068695,11.570772
12.611068,9.738915,11.436625
12.777477,9.827502,11.570869
12.531757,9.783574,11.4589615
12.653183,9.519747,11.334648
12.981918,9.960997,11.143038
